INFO:root:Epoch 95/500, Loss: 0.0033, Time: 2.26s
INFO:root:Epoch 96/500, Loss: 0.0032, Time: 1.77s
INFO:root:Epoch 97/500, Loss: 0.0031, Time: 2.34s
INFO:root:Epoch 98/500, Loss: 0.0031, Time: 3.17s
INFO:root:Epoch 99/500, Loss: 0.0030, Time: 1.37s
INFO:root:Epoch 100/500, Loss: 0.0029, Time: 1.13s
INFO:root:Epoch 101/500, Loss: 0.0029, Time: 1.40s
INFO:root:Epoch 102/500, Loss: 0.0028, Time: 2.57s
INFO:root:Epoch 103/500, Loss: 0.0028, Time: 2.80s
INFO:root:Epoch 104/500, Loss: 0.0028, Time: 1.13s
INFO:root:Epoch 105/500, Loss: 0.0028, Time: 2.25s
INFO:root:Epoch 106/500, Loss: 0.0028, Time: 2.58s
INFO:root:Epoch 107/500, Loss: 0.0028, Time: 2.47s
INFO:root:Epoch 108/500, Loss: 0.0028, Time: 2.85s
INFO:root:Epoch 109/500, Loss: 0.0028, Time: 1.68s
INFO:root:Epoch 110/500, Loss: 0.0028, Time: 2.25s
INFO:root:Epoch 111/500, Loss: 0.0028, Time: 2.92s
INFO:root:Epoch 112/500, Loss: 0.0028, Time: 3.18s
INFO:root:Epoch 113/500, Loss: 0.0027, Time: 1.66s
INFO:root:Epoch 114/500, Loss: 0.0027, Time: 3.22s
INFO:root:Epoch 115/500, Loss: 0.0027, Time: 2.74s
INFO:root:Epoch 116/500, Loss: 0.0027, Time: 2.37s
INFO:root:Epoch 117/500, Loss: 0.0027, Time: 2.04s
INFO:root:Epoch 118/500, Loss: 0.0027, Time: 2.18s
INFO:root:Epoch 119/500, Loss: 0.0027, Time: 1.67s
INFO:root:Epoch 120/500, Loss: 0.0027, Time: 2.34s
INFO:root:Epoch 121/500, Loss: 0.0027, Time: 1.17s
INFO:root:Epoch 122/500, Loss: 0.0027, Time: 1.14s
INFO:root:Epoch 123/500, Loss: 0.0026, Time: 2.89s
INFO:root:Epoch 124/500, Loss: 0.0026, Time: 2.80s
INFO:root:Epoch 125/500, Loss: 0.0026, Time: 1.71s
INFO:root:Epoch 126/500, Loss: 0.0026, Time: 1.12s
INFO:root:Epoch 127/500, Loss: 0.0026, Time: 2.95s
INFO:root:Epoch 128/500, Loss: 0.0026, Time: 1.62s
INFO:root:Epoch 129/500, Loss: 0.0026, Time: 1.82s
INFO:root:Epoch 130/500, Loss: 0.0026, Time: 1.25s
INFO:root:Epoch 131/500, Loss: 0.0026, Time: 2.42s
INFO:root:Epoch 132/500, Loss: 0.0026, Time: 2.81s
INFO:root:Epoch 133/500, Loss: 0.0025, Time: 1.61s
INFO:root:Epoch 134/500, Loss: 0.0025, Time: 3.62s
INFO:root:Epoch 135/500, Loss: 0.0025, Time: 1.43s
INFO:root:Epoch 136/500, Loss: 0.0025, Time: 3.31s
INFO:root:Epoch 137/500, Loss: 0.0025, Time: 1.42s
INFO:root:Epoch 138/500, Loss: 0.0025, Time: 3.42s
INFO:root:Epoch 139/500, Loss: 0.0025, Time: 2.86s
INFO:root:Epoch 140/500, Loss: 0.0025, Time: 1.82s
INFO:root:Epoch 141/500, Loss: 0.0025, Time: 1.48s
INFO:root:Epoch 142/500, Loss: 0.0025, Time: 1.16s
INFO:root:Epoch 143/500, Loss: 0.0025, Time: 3.43s
INFO:root:Epoch 144/500, Loss: 0.0024, Time: 2.75s
INFO:root:Epoch 145/500, Loss: 0.0024, Time: 2.65s
INFO:root:Epoch 146/500, Loss: 0.0024, Time: 1.17s
INFO:root:Epoch 147/500, Loss: 0.0024, Time: 1.49s
INFO:root:Epoch 148/500, Loss: 0.0024, Time: 2.62s
INFO:root:Epoch 149/500, Loss: 0.0024, Time: 2.66s
INFO:root:Epoch 150/500, Loss: 0.0024, Time: 3.16s
INFO:root:Epoch 151/500, Loss: 0.0024, Time: 3.24s
INFO:root:Epoch 152/500, Loss: 0.0024, Time: 1.69s
INFO:root:Epoch 153/500, Loss: 0.0024, Time: 1.97s
INFO:root:Epoch 154/500, Loss: 0.0024, Time: 1.51s
INFO:root:Epoch 155/500, Loss: 0.0023, Time: 2.11s
INFO:root:Epoch 156/500, Loss: 0.0023, Time: 2.55s
INFO:root:Epoch 157/500, Loss: 0.0023, Time: 1.28s
INFO:root:Epoch 158/500, Loss: 0.0023, Time: 2.84s
INFO:root:Epoch 159/500, Loss: 0.0023, Time: 2.09s
INFO:root:Epoch 160/500, Loss: 0.0023, Time: 1.96s
INFO:root:Epoch 161/500, Loss: 0.0023, Time: 1.79s
INFO:root:Epoch 162/500, Loss: 0.0023, Time: 2.79s
INFO:root:Epoch 163/500, Loss: 0.0023, Time: 2.87s
INFO:root:Epoch 164/500, Loss: 0.0023, Time: 2.76s
INFO:root:Epoch 165/500, Loss: 0.0023, Time: 1.69s
INFO:root:Epoch 166/500, Loss: 0.0022, Time: 3.03s
INFO:root:Epoch 167/500, Loss: 0.0022, Time: 3.24s
INFO:root:Epoch 168/500, Loss: 0.0022, Time: 1.69s
INFO:root:Epoch 169/500, Loss: 0.0022, Time: 1.39s
INFO:root:Epoch 170/500, Loss: 0.0022, Time: 2.04s
INFO:root:Epoch 171/500, Loss: 0.0022, Time: 1.16s
INFO:root:Epoch 172/500, Loss: 0.0022, Time: 2.49s
INFO:root:Epoch 173/500, Loss: 0.0022, Time: 2.64s
INFO:root:Epoch 174/500, Loss: 0.0022, Time: 2.29s
INFO:root:Epoch 175/500, Loss: 0.0022, Time: 1.11s
INFO:root:Epoch 176/500, Loss: 0.0021, Time: 3.22s
INFO:root:Epoch 177/500, Loss: 0.0021, Time: 2.36s
INFO:root:Epoch 178/500, Loss: 0.0021, Time: 1.20s
INFO:root:Epoch 179/500, Loss: 0.0021, Time: 1.18s
INFO:root:Epoch 180/500, Loss: 0.0021, Time: 1.75s
INFO:root:Epoch 181/500, Loss: 0.0021, Time: 2.93s
INFO:root:Epoch 182/500, Loss: 0.0021, Time: 3.16s
INFO:root:Epoch 183/500, Loss: 0.0021, Time: 3.38s
INFO:root:Epoch 184/500, Loss: 0.0021, Time: 2.46s
INFO:root:Epoch 185/500, Loss: 0.0021, Time: 1.71s
INFO:root:Epoch 186/500, Loss: 0.0021, Time: 1.29s
INFO:root:Epoch 187/500, Loss: 0.0020, Time: 2.27s
INFO:root:Epoch 188/500, Loss: 0.0020, Time: 2.88s
INFO:root:Epoch 189/500, Loss: 0.0020, Time: 1.46s
INFO:root:Epoch 190/500, Loss: 0.0020, Time: 3.44s
INFO:root:Epoch 191/500, Loss: 0.0020, Time: 3.16s
INFO:root:Epoch 192/500, Loss: 0.0020, Time: 2.62s
INFO:root:Epoch 193/500, Loss: 0.0020, Time: 3.30s
INFO:root:Epoch 194/500, Loss: 0.0020, Time: 2.17s
INFO:root:Epoch 195/500, Loss: 0.0020, Time: 2.45s
INFO:root:Epoch 196/500, Loss: 0.0020, Time: 2.98s
INFO:root:Epoch 197/500, Loss: 0.0020, Time: 1.22s
INFO:root:Epoch 198/500, Loss: 0.0019, Time: 2.75s
INFO:root:Epoch 199/500, Loss: 0.0019, Time: 1.86s
INFO:root:Epoch 200/500, Loss: 0.0019, Time: 2.98s
INFO:root:Epoch 201/500, Loss: 0.0019, Time: 2.91s
INFO:root:Epoch 202/500, Loss: 0.0019, Time: 3.08s
INFO:root:Epoch 203/500, Loss: 0.0019, Time: 3.02s
INFO:root:Epoch 204/500, Loss: 0.0019, Time: 2.87s
INFO:root:Epoch 205/500, Loss: 0.0019, Time: 2.97s
INFO:root:Epoch 206/500, Loss: 0.0019, Time: 1.78s
INFO:root:Epoch 207/500, Loss: 0.0019, Time: 1.48s
INFO:root:Epoch 208/500, Loss: 0.0019, Time: 3.09s
INFO:root:Epoch 209/500, Loss: 0.0019, Time: 2.16s
INFO:root:Epoch 210/500, Loss: 0.0019, Time: 2.39s
INFO:root:Epoch 211/500, Loss: 0.0019, Time: 2.63s
INFO:root:Epoch 212/500, Loss: 0.0019, Time: 2.28s
INFO:root:Epoch 213/500, Loss: 0.0019, Time: 2.02s
INFO:root:Epoch 214/500, Loss: 0.0019, Time: 1.32s
INFO:root:Epoch 215/500, Loss: 0.0019, Time: 2.30s
INFO:root:Epoch 216/500, Loss: 0.0019, Time: 3.22s
INFO:root:Epoch 217/500, Loss: 0.0019, Time: 2.71s
INFO:root:Epoch 218/500, Loss: 0.0019, Time: 2.13s
INFO:root:Epoch 219/500, Loss: 0.0019, Time: 2.86s
INFO:root:Epoch 220/500, Loss: 0.0019, Time: 1.56s
INFO:root:Epoch 221/500, Loss: 0.0019, Time: 2.56s
